,salario,secao,subclasse,saldomov,cbo2002,categoria,grau,idade,horascontratuais,racacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentacao,tipodedeficiencia,indtrabintermitente,indtrabparcial,tamestabjan,indicadoraprendiz,origemdainformacao,indicadordeforadoprazo,unidadesalariocodigo,valorsalariofixo,nome_ocu
2609813,"4000,00",J,6201501,1,212405,101,9,23.0,"44,00",1,3,0,1,97,0,0,9,3,0,1,0,5,"4000,00",Analista de Desenvolvimento de Sistemas
2609815,"4251,58",J,6201501,1,212405,101,9,26.0,"44,00",4,1,0,1,97,0,0,0,9,0,1,0,5,"4251,58",Analista de Desenvolvimento de Sistemas
2609816,"8400,00",J,6203100,1,212405,101,7,31.0,"40,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"8400,00",Analista de Desenvolvimento de Sistemas
2609817,"2730,00",J,6203100,-1,212405,101,8,23.0,"40,00",3,1,0,1,31,0,0,0,5,0,1,0,5,"2730,00",Analista de Desenvolvimento de Sistemas
2609818,"2592,73",K,6436100,1,212405,101,80,27.0,"44,00",1,3,0,1,97,0,0,0,7,0,1,0,5,"2592,73",Analista de Desenvolvimento de Sistemas
2609820,"8000,00",J,6204000,-1,212405,101,9,40.0,"40,00",1,1,0,1,40,0,0,0,8,0,1,0,5,"8000,00",Analista de Desenvolvimento de Sistemas
2609825,"4243,00",J,6203100,1,212405,101,9,28.0,"40,00",1,3,0,1,97,1,0,0,10,0,1,0,5,"4243,00",Analista de Desenvolvimento de Sistemas
2609827,"7126,13",K,6612602,-1,212405,101,8,28.0,"40,00",3,1,0,1,31,0,0,0,6,0,1,0,5,"7126,13",Analista de Desenvolvimento de Sistemas
2609831,"10000,00",J,6203100,1,212405,101,9,38.0,"44,00",1,3,0,1,97,0,0,9,10,0,1,0,5,"10000,00",Analista de Desenvolvimento de Sistemas
2609834,"2306,00",J,6204000,1,212405,101,9,26.0,"40,00",1,3,0,1,97,0,0,0,8,0,1,0,5,"2306,00",Analista de Desenvolvimento de Sistemas
2609840,"11906,73",J,6209100,-1,212405,101,9,39.0,"40,00",6,1,0,1,40,0,0,0,5,0,1,0,5,"11906,73",Analista de Desenvolvimento de Sistemas
2609841,"6074,00",K,6619302,1,212405,101,8,29.0,"40,00",3,3,0,1,97,0,0,0,7,0,1,0,5,"6074,00",Analista de Desenvolvimento de Sistemas
2609844,"15000,00",J,6319400,1,212405,101,9,30.0,"40,00",6,1,0,1,97,0,0,0,2,0,1,0,5,"15000,00",Analista de Desenvolvimento de Sistemas
2609845,"13546,82",J,6201501,-1,212405,101,80,35.0,"40,00",3,3,0,1,31,0,0,0,8,0,1,0,5,"13546,82",Analista de Desenvolvimento de Sistemas
2609853,"2300,00",N,8211300,1,212405,101,8,18.0,"40,00",3,1,0,1,97,0,0,0,1,0,1,0,5,"2300,00",Analista de Desenvolvimento de Sistemas
2609860,"10000,00",J,6209100,1,212405,101,9,25.0,"44,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"10000,00",Analista de Desenvolvimento de Sistemas
2609861,"7062,25",Q,8610101,-1,212405,101,9,49.0,"44,00",2,1,0,1,31,0,0,0,10,0,1,0,5,"7062,25",Analista de Desenvolvimento de Sistemas
2609864,"3000,00",J,6203100,-1,212405,101,8,20.0,"40,00",1,3,0,1,40,0,0,0,6,0,1,0,5,"3000,00",Analista de Desenvolvimento de Sistemas
2609870,"7000,00",M,7020400,1,212405,101,8,38.0,"44,00",2,1,0,1,97,0,0,0,7,0,1,0,5,"7000,00",Analista de Desenvolvimento de Sistemas
2609871,"12826,73",J,6209100,-1,212405,101,9,47.0,"44,00",6,3,0,1,31,0,0,0,10,0,1,0,5,"12826,73",Analista de Desenvolvimento de Sistemas
2609873,"14750,74",N,8211300,1,212405,101,9,31.0,"44,00",1,3,0,1,97,0,0,0,10,0,1,0,5,"14750,74",Analista de Desenvolvimento de Sistemas
2609880,"6000,00",J,6110803,1,212405,101,9,31.0,"40,00",1,3,0,1,97,0,0,0,5,0,1,0,5,"6000,00",Analista de Desenvolvimento de Sistemas
2609886,"11005,00",S,9411100,1,212405,101,7,38.0,"44,00",2,1,0,1,97,0,0,0,9,0,1,0,5,"11005,00",Analista de Desenvolvimento de Sistemas
2609888,"12980,63",K,6619302,-1,212405,101,9,32.0,"40,00",3,1,0,1,40,0,0,0,7,0,1,0,5,"12980,63",Analista de Desenvolvimento de Sistemas
2609889,"9500,00",N,8211300,1,212405,101,9,49.0,"40,00",1,1,0,1,97,0,0,0,9,0,1,0,5,"9500,00",Analista de Desenvolvimento de Sistemas
2609893,"7586,65",J,6204000,1,212405,101,9,23.0,"40,00",3,1,0,1,97,0,0,0,8,0,1,0,5,"7586,65",Analista de Desenvolvimento de Sistemas
2609895,"15000,00",K,6613400,1,212405,101,80,26.0,"40,00",3,1,0,1,97,0,0,0,10,0,1,0,5,"15000,00",Analista de Desenvolvimento de Sistemas
2609896,"2300,00",N,7733100,-1,212405,101,80,47.0,"44,00",3,3,0,1,40,0,0,0,7,0,1,0,5,"2300,00",Analista de Desenvolvimento de Sistemas
2609899,"3500,00",S,9511800,1,212405,101,9,38.0,"44,00",1,1,0,1,97,0,0,0,1,0,1,0,5,"3500,00",Analista de Desenvolvimento de Sistemas
